ТН;Должность;Ставка;Оклад (основной);Оклад (совместительство);Почасовая оплата;Итого
302380;Старший преподаватель;1,5;8623,0;4311,5;;12236,04
72940;Доцент;1,5;6938,82;3469,41;2926,94;21660,41
302809;Ассистент;0,3;;532,35;;1590,56
302785;Доцент;1,5;6938,82;3469,41;;15180,25
5846;Профессор;0,5;;5230,5;;8099,96
301861;Ассистент;0,6;4811,4;;;4185,92
303075;Профессор;0,25;;2615,25;;4277,5
303077;Преподаватель;1,2;6873,43;1374,69;;7636,56
302606;Профессор;0,5;;5230,5;;8006,86
302606;Профессор;1,0;10461,0;;10002,6;25065,75
106199;Доцент;0,5;;4915,0;;6841,68
301469;Ассистент;0,1;3969,0;801,9;;7516,31
303269;Старший преподаватель;0,35;;2155,75;;2501,62
301037;Старший преподаватель;1,5;8623,0;4311,5;5678,75;17119,76
2124;Профессор;1,0;11065,0;2615,25;;23545,61
103707;Доцент;0,5;;4915,0;;5706,32
103707;Доцент;1,0;9830,0;;15854,28;25047,31
160944;Доцент;1,5;9830,0;4915,0;4878,24;24484,41
1374;Доцент;1,5;9830,0;4915,0;304,89;21819,4
302810;Доцент;1,5;8019,0;4009,5;6861,52;19866,0
302693;Доцент;1,5;9830,0;4915,0;;20289,12
106393;Старший преподаватель;0,5;;4311,5;;4449,47
106393;Старший преподаватель;1,0;8623,0;;4543,0;12805,92
74545;Старший преподаватель;0,5;;4311,5;;4449,47
73454;Доцент;1,0;9830,0;4915,0;5680,6;26442,51
303106;Старший преподаватель;0,05;;410,6;;464,39
303106;Старший преподаватель;0,95;7801,4;;;8823,38
1888;Профессор;0,5;;5230,5;;8006,86
10295;Старший преподаватель;0,2;;1724,6;;1928,1
10295;Старший преподаватель;1,3;8623,0;2586,9;973,5;17077,77
2076;Профессор;0,5;;5230,5;;8555,01
102413;Доцент;0,5;;4915,0;;7269,28
518;Ассистент;1,0;8019,0;;;6896,34
2207;Старший преподаватель;0,9;7055,1;;;7887,6
302263;Ассистент;0,4;;3207,6;;2758,53
302263;Ассистент;0,45;3608,55;;;3103,36
165021;Доцент;1,0;8623,0;;;10011,3
256;Преподаватель;0,5;;4009,5;;4137,81
302476;Старший преподаватель;1,5;8623,0;4311,5;12980,0;23398,84
70267;Доцент;1,5;9830,0;4915,0;101,63;20376,52
